"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCL3L1",1.20755516641469e-30,9.86400493364191,0.706,0.034,2.22818079306839e-26
"ITGAX",2.90017106052838e-44,9.55549228447802,1,0.05,5.35139564088697e-40
"C3",2.37356599801713e-28,9.53378170295806,1,0.116,4.37970397954121e-24
"CLEC7A",2.34605374496744e-34,9.21458691203135,0.882,0.055,4.32893837021391e-30
"CCL4",4.94293235424637e-27,9.13190156376422,0.882,0.082,9.1206987800554e-23
"CX3CR1",9.5896420238382e-42,9.02561423352438,0.706,0.016,1.76948074623862e-37
"CCL3",1.91661140502415e-39,8.99656491471548,0.882,0.04,3.53653136455057e-35
"OLR1",4.13435211510771e-43,8.9647047799664,0.941,0.042,7.62870652279674e-39
"RGS1",4.71349674184164e-38,8.63173279001642,0.882,0.045,8.6973441880462e-34
"CCL4L2",9.56995120954449e-34,8.60429045095332,0.765,0.034,1.76584739718515e-29
"CD53",2.60572063365787e-40,8.54984988009057,0.824,0.032,4.8080757132255e-36
"DHRS9",4.98339572831353e-40,8.47713089703023,0.765,0.024,9.19536179788413e-36
"C1QB",1.55485144710903e-48,8.3872765616277,0.765,0.013,2.86901189020559e-44
"MSR1",6.18589804731678e-27,8.32629536230002,0.882,0.084,1.14142190769089e-22
"CD74",2.36760990221613e-30,8.31785417084075,1,0.1,4.36871379156921e-26
"MS4A7",1.35296604006904e-42,8.28800564115665,0.882,0.034,2.4964929371354e-38
"BCL2A1",7.62538828737019e-30,8.13229880755539,0.647,0.026,1.40703664678555e-25
"SCIN",7.33936822112998e-23,8.10987413320089,0.706,0.058,1.3542602241629e-18
"P2RY12",2.15047100173548e-38,8.08593088761848,1,0.066,3.9680490924023e-34
"CD86",1.30280266338432e-48,8.08334840805625,0.824,0.018,2.40393147447675e-44
"ADAM28",4.28141067206546e-41,8.07880470899044,1,0.055,7.90005897209518e-37
"BLNK",6.23757893314348e-31,7.96536258654903,0.706,0.032,1.15095806474363e-26
"GPR183",4.92195633118269e-32,7.90745931180157,0.941,0.077,9.08199382229829e-28
"C3AR1",1.59921772373805e-42,7.86720057092195,0.882,0.034,2.95087654384144e-38
"AIF1",2.38462201551713e-49,7.84701860165429,0.882,0.024,4.40010454303221e-45
"ALOX5AP",6.94181904040685e-46,7.796811923657,0.882,0.029,1.28090444933587e-41
"CD84",1.34944628819299e-35,7.77561662027618,0.765,0.032,2.4899982909737e-31
"SLC2A5",1.74101080014268e-33,7.75088661827639,0.824,0.045,3.21251312842327e-29
"FYB1",1.54559949633079e-26,7.73497452231146,0.647,0.034,2.85194019062957e-22
"CSF1R",5.60107831640857e-33,7.71615702136411,0.882,0.058,1.03351097094371e-28
"LCP1",4.99618949284912e-37,7.70187651325144,0.882,0.045,9.21896885220519e-33
"HLA.DRA",2.46834483113699e-45,7.68232545352495,1,0.047,4.55458988241397e-41
"LAPTM5",3.54810521700336e-55,7.66576987969488,1,0.029,6.5469637464146e-51
"RUNX1",2.21721259064409e-24,7.63471961000896,0.765,0.063,4.09120067225647e-20
"HAVCR2",1.50838317496051e-22,7.53693726970626,0.765,0.074,2.78326863443713e-18
"RHOH",8.16374173082586e-05,7.53655808694403,0.294,0.061,1
"CYBB",9.90908258534246e-39,7.52926970906389,0.882,0.042,1.82842391864739e-34
"ARHGDIB",9.34382845948585e-42,7.42990170400616,0.882,0.034,1.72412322734433e-37
"RGS10",1.39454346894639e-35,7.40760745460056,0.765,0.032,2.57321160889988e-31
"SAMSN1",4.85738668734172e-33,7.37221989312035,0.765,0.037,8.96284991548295e-29
"IL18",2.82092498189612e-27,7.33443243532905,0.706,0.042,5.20517077659472e-23
"PTAFR",1.24978361248533e-14,7.25726509226488,0.471,0.04,2.30610072175793e-10
"GPR34",2.10677985251281e-39,7.244350039648,0.882,0.04,3.88743018385664e-35
"PRRG4",3.05388360441774e-13,7.2315436307925,0.471,0.045,5.63502602687161e-09
"FPR1",1.53322093445825e-31,7.22057667211127,0.647,0.024,2.82909926826236e-27
"PTPRC",4.94864463822248e-48,7.20086461808859,0.941,0.032,9.13123908644812e-44
"PLEK",6.05920401104361e-43,7.19363262755581,0.941,0.042,1.11804432411777e-38
"IL1B",3.94761243024616e-33,7.16994630513511,0.765,0.037,7.28413445629021e-29
"SLC7A7",6.52629815472321e-08,7.13586150326401,0.412,0.063,0.00120423253550953
"PTPN6",5.64652809261347e-24,6.9979900620233,0.647,0.04,1.04189736364904e-19
"SIGLEC14",5.6399740538937e-30,6.9566384937254,0.706,0.034,1.04068801242447e-25
"ARHGAP25",1.13020851939014e-22,6.93570374249658,0.588,0.034,2.08546075997869e-18
"LUCAT1",6.5518609921659e-09,6.84255024367456,0.588,0.132,0.000120894939027445
"TNFRSF13C",9.20878638749592e-18,6.84094771771712,0.647,0.063,1.69920526422075e-13
