gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ETNPPL,3.57116409467442E-60,7.43779181674972,1,0.101,6.58951198749325E-56
CHI3L1,1.76914925709816E-38,7.42975128352658,0.586,0.024,3.26443420919753E-34
AQP4,9.49608393765645E-48,6.88664476178227,0.983,0.189,1.75221740817637E-43
LINC00499,2.13004618208903E-48,6.76629032098902,0.931,0.124,3.93036121519068E-44
GFAP,6.7889963545879E-39,6.53614347796317,0.862,0.145,1.25270560734856E-34
SLC25A18,2.75250644498161E-58,6.39343236355683,0.983,0.092,5.07892489228006E-54
GJA1,4.39689643873147E-50,6.36486344258903,1,0.178,8.11315330874732E-46
RNF219.AS1,7.00182339430883E-42,6.26375132108001,0.759,0.068,1.29197645271786E-37
ACOX2,2.27372695638399E-14,6.26212911751392,0.293,0.027,4.19548097991975E-10
AGT,2.94477885152348E-50,6.25809949931555,1,0.169,5.43370593683112E-46
GJB6,4.65055244709971E-59,6.24032082851626,0.897,0.05,8.58119937538838E-55
ALDH1L1,5.24599449462327E-47,6.0482149541275,0.862,0.08,9.67990904147886E-43
SELENBP1,1.82316843940767E-41,6.01771461669624,0.759,0.062,3.36411040439503E-37
PLA2G5,6.11219245101842E-18,5.93379867812109,0.293,0.015,1.12782175106192E-13
SLC39A12,1.97540906567347E-59,5.92489683145275,0.897,0.047,3.64502480798069E-55
PRSS35,6.65439771055709E-33,5.91937235920957,0.534,0.027,1.22786946555199E-28
RANBP3L,1.92197462391637E-53,5.90437846001078,0.983,0.124,3.54642757605049E-49
APOE,6.9166293174407E-53,5.88989909166312,0.897,0.077,1.27625644165416E-48
MGST1,7.11391763598507E-51,5.82826151432119,0.931,0.109,1.31266008219196E-46
MRVI1,1.87784771540079E-50,5.81503936810593,0.897,0.089,3.46500460445753E-46
FAM189A2,1.79462146242354E-34,5.74317260123898,0.724,0.086,3.31143552246392E-30
SLC1A2,3.7144123691087E-34,5.71300411974591,1,0.754,6.85383370347937E-30
ACSBG1,6.33154087652279E-52,5.68289458931487,0.845,0.053,1.16829592253598E-47
ENSG00000286288.1,4.459571401923E-48,5.59334447366099,0.845,0.071,8.22880115082832E-44
AC027117.1,3.48838044357802E-26,5.58675273074404,0.448,0.027,6.43675959449017E-22
SLCO1C1,1.79083011548626E-52,5.58332868284042,1,0.133,3.30443972909525E-48
HSD17B6,1.97860217850466E-37,5.56360965340991,0.707,0.062,3.65091673977679E-33
GPR143,2.21437196928936E-27,5.49883721800792,0.466,0.027,4.08595915773273E-23
ENSG00000287134.1,1.58166038203259E-43,5.47024052620225,0.69,0.036,2.91847973692653E-39
SDC4,2.06588345958876E-50,5.46898331730125,0.897,0.089,3.81196815963318E-46
SLC14A1,5.88641309328649E-45,5.4581111573149,0.845,0.086,1.08616094397322E-40
